county,candidate,votes
Acadia,"Barack Obama, Joe Biden Democratic",6560
Acadia,"Jill Stein, Cheri Honkala Green",101
Acadia,"Gary Johnson, James P. Gray Libertarian",144
Acadia,"Mitt Romney, Paul Ryan Republican",19931
Acadia,"Virgil Goode, James Clymer Constitution",26
Acadia,"Ross Anderson, Luis Rodriguez Justice",23
Acadia,"Jack Fellure, Toby Davis Prohibition",8
Acadia,"Peta Lindsay, Yari Osorio Socialism and Liberation",9
Acadia,"Jerry White, Phyllis Scherrer Socialist Equality",7
Acadia,"James Harris, Alyson Kennedy Socialist Workers",2
Acadia,"Sheila Tittle, Matthew Turner We The People",24
Allen,"Barack Obama, Joe Biden Democratic",2617
Allen,"Jill Stein, Cheri Honkala Green",52
Allen,"Gary Johnson, James P. Gray Libertarian",73
Allen,"Mitt Romney, Paul Ryan Republican",6495
Allen,"Virgil Goode, James Clymer Constitution",17
Allen,"Ross Anderson, Luis Rodriguez Justice",15
Allen,"Jack Fellure, Toby Davis Prohibition",3
Allen,"Peta Lindsay, Yari Osorio Socialism and Liberation",1
Allen,"Jerry White, Phyllis Scherrer Socialist Equality",5
Allen,"James Harris, Alyson Kennedy Socialist Workers",2
Allen,"Sheila Tittle, Matthew Turner We The People",27
Ascension,"Barack Obama, Joe Biden Democratic",16349
Ascension,"Jill Stein, Cheri Honkala Green",123
Ascension,"Gary Johnson, James P. Gray Libertarian",538
Ascension,"Mitt Romney, Paul Ryan Republican",33856
Ascension,"Virgil Goode, James Clymer Constitution",53
Ascension,"Ross Anderson, Luis Rodriguez Justice",44
Ascension,"Jack Fellure, Toby Davis Prohibition",20
Ascension,"Peta Lindsay, Yari Osorio Socialism and Liberation",11
Ascension,"Jerry White, Phyllis Scherrer Socialist Equality",9
Ascension,"James Harris, Alyson Kennedy Socialist Workers",10
Ascension,"Sheila Tittle, Matthew Turner We The People",60
Assumption,"Barack Obama, Joe Biden Democratic",4754
Assumption,"Jill Stein, Cheri Honkala Green",34
Assumption,"Gary Johnson, James P. Gray Libertarian",70
Assumption,"Mitt Romney, Paul Ryan Republican",6083
Assumption,"Virgil Goode, James Clymer Constitution",16
Assumption,"Ross Anderson, Luis Rodriguez Justice",5
Assumption,"Jack Fellure, Toby Davis Prohibition",1
Assumption,"Peta Lindsay, Yari Osorio Socialism and Liberation",5
Assumption,"Jerry White, Phyllis Scherrer Socialist Equality",6
Assumption,"James Harris, Alyson Kennedy Socialist Workers",2
Assumption,"Sheila Tittle, Matthew Turner We The People",16
Avoyelles,"Barack Obama, Joe Biden Democratic",6077
Avoyelles,"Jill Stein, Cheri Honkala Green",80
Avoyelles,"Gary Johnson, James P. Gray Libertarian",98
Avoyelles,"Mitt Romney, Paul Ryan Republican",10670
Avoyelles,"Virgil Goode, James Clymer Constitution",22
Avoyelles,"Ross Anderson, Luis Rodriguez Justice",18
Avoyelles,"Jack Fellure, Toby Davis Prohibition",10
Avoyelles,"Peta Lindsay, Yari Osorio Socialism and Liberation",4
Avoyelles,"Jerry White, Phyllis Scherrer Socialist Equality",7
Avoyelles,"James Harris, Alyson Kennedy Socialist Workers",6
Avoyelles,"Sheila Tittle, Matthew Turner We The People",40
Beauregard,"Barack Obama, Joe Biden Democratic",2828
Beauregard,"Jill Stein, Cheri Honkala Green",53
Beauregard,"Gary Johnson, James P. Gray Libertarian",145
Beauregard,"Mitt Romney, Paul Ryan Republican",11112
Beauregard,"Virgil Goode, James Clymer Constitution",27
Beauregard,"Ross Anderson, Luis Rodriguez Justice",17
Beauregard,"Jack Fellure, Toby Davis Prohibition",2
Beauregard,"Peta Lindsay, Yari Osorio Socialism and Liberation",2
Beauregard,"Jerry White, Phyllis Scherrer Socialist Equality",3
Beauregard,"James Harris, Alyson Kennedy Socialist Workers",7
Beauregard,"Sheila Tittle, Matthew Turner We The People",29
Bienville,"Barack Obama, Joe Biden Democratic",3490
Bienville,"Jill Stein, Cheri Honkala Green",21
Bienville,"Gary Johnson, James P. Gray Libertarian",25
Bienville,"Mitt Romney, Paul Ryan Republican",3641
Bienville,"Virgil Goode, James Clymer Constitution",11
Bienville,"Ross Anderson, Luis Rodriguez Justice",3
Bienville,"Jack Fellure, Toby Davis Prohibition",1
Bienville,"Peta Lindsay, Yari Osorio Socialism and Liberation",4
Bienville,"Jerry White, Phyllis Scherrer Socialist Equality",0
Bienville,"James Harris, Alyson Kennedy Socialist Workers",1
Bienville,"Sheila Tittle, Matthew Turner We The People",6
Bossier,"Barack Obama, Joe Biden Democratic",12956
Bossier,"Jill Stein, Cheri Honkala Green",109
Bossier,"Gary Johnson, James P. Gray Libertarian",390
Bossier,"Mitt Romney, Paul Ryan Republican",34988
Bossier,"Virgil Goode, James Clymer Constitution",55
Bossier,"Ross Anderson, Luis Rodriguez Justice",9
Bossier,"Jack Fellure, Toby Davis Prohibition",10
Bossier,"Peta Lindsay, Yari Osorio Socialism and Liberation",8
Bossier,"Jerry White, Phyllis Scherrer Socialist Equality",5
Bossier,"James Harris, Alyson Kennedy Socialist Workers",4
Bossier,"Sheila Tittle, Matthew Turner We The People",28
Caddo,"Barack Obama, Joe Biden Democratic",58042
Caddo,"Jill Stein, Cheri Honkala Green",258
Caddo,"Gary Johnson, James P. Gray Libertarian",763
Caddo,"Mitt Romney, Paul Ryan Republican",52459
Caddo,"Virgil Goode, James Clymer Constitution",88
Caddo,"Ross Anderson, Luis Rodriguez Justice",41
Caddo,"Jack Fellure, Toby Davis Prohibition",13
Caddo,"Peta Lindsay, Yari Osorio Socialism and Liberation",14
Caddo,"Jerry White, Phyllis Scherrer Socialist Equality",14
Caddo,"James Harris, Alyson Kennedy Socialist Workers",23
Caddo,"Sheila Tittle, Matthew Turner We The People",50
Calcasieu,"Barack Obama, Joe Biden Democratic",28359
Calcasieu,"Jill Stein, Cheri Honkala Green",289
Calcasieu,"Gary Johnson, James P. Gray Libertarian",818
Calcasieu,"Mitt Romney, Paul Ryan Republican",51850
Calcasieu,"Virgil Goode, James Clymer Constitution",161
Calcasieu,"Ross Anderson, Luis Rodriguez Justice",52
Calcasieu,"Jack Fellure, Toby Davis Prohibition",27
Calcasieu,"Peta Lindsay, Yari Osorio Socialism and Liberation",21
Calcasieu,"Jerry White, Phyllis Scherrer Socialist Equality",16
Calcasieu,"James Harris, Alyson Kennedy Socialist Workers",16
Calcasieu,"Sheila Tittle, Matthew Turner We The People",117
Caldwell,"Barack Obama, Joe Biden Democratic",1016
Caldwell,"Jill Stein, Cheri Honkala Green",19
Caldwell,"Gary Johnson, James P. Gray Libertarian",18
Caldwell,"Mitt Romney, Paul Ryan Republican",3640
Caldwell,"Virgil Goode, James Clymer Constitution",8
Caldwell,"Ross Anderson, Luis Rodriguez Justice",2
Caldwell,"Jack Fellure, Toby Davis Prohibition",1
Caldwell,"Peta Lindsay, Yari Osorio Socialism and Liberation",1
Caldwell,"Jerry White, Phyllis Scherrer Socialist Equality",2
Caldwell,"James Harris, Alyson Kennedy Socialist Workers",2
Caldwell,"Sheila Tittle, Matthew Turner We The People",7
Cameron,"Barack Obama, Joe Biden Democratic",408
Cameron,"Jill Stein, Cheri Honkala Green",20
Cameron,"Gary Johnson, James P. Gray Libertarian",26
Cameron,"Mitt Romney, Paul Ryan Republican",3260
Cameron,"Virgil Goode, James Clymer Constitution",5
Cameron,"Ross Anderson, Luis Rodriguez Justice",2
Cameron,"Jack Fellure, Toby Davis Prohibition",1
Cameron,"Peta Lindsay, Yari Osorio Socialism and Liberation",0
Cameron,"Jerry White, Phyllis Scherrer Socialist Equality",1
Cameron,"James Harris, Alyson Kennedy Socialist Workers",1
Cameron,"Sheila Tittle, Matthew Turner We The People",20
Catahoula,"Barack Obama, Joe Biden Democratic",1408
Catahoula,"Jill Stein, Cheri Honkala Green",10
Catahoula,"Gary Johnson, James P. Gray Libertarian",15
Catahoula,"Mitt Romney, Paul Ryan Republican",2744
Catahoula,"Virgil Goode, James Clymer Constitution",5
Catahoula,"Ross Anderson, Luis Rodriguez Justice",2
Catahoula,"Jack Fellure, Toby Davis Prohibition",2
Catahoula,"Peta Lindsay, Yari Osorio Socialism and Liberation",1
Catahoula,"Jerry White, Phyllis Scherrer Socialist Equality",0
Catahoula,"James Harris, Alyson Kennedy Socialist Workers",1
Catahoula,"Sheila Tittle, Matthew Turner We The People",5
Claiborne,"Barack Obama, Joe Biden Democratic",3014
Claiborne,"Jill Stein, Cheri Honkala Green",23
Claiborne,"Gary Johnson, James P. Gray Libertarian",20
Claiborne,"Mitt Romney, Paul Ryan Republican",3649
Claiborne,"Virgil Goode, James Clymer Constitution",5
Claiborne,"Ross Anderson, Luis Rodriguez Justice",6
Claiborne,"Jack Fellure, Toby Davis Prohibition",2
Claiborne,"Peta Lindsay, Yari Osorio Socialism and Liberation",0
Claiborne,"Jerry White, Phyllis Scherrer Socialist Equality",1
Claiborne,"James Harris, Alyson Kennedy Socialist Workers",3
Claiborne,"Sheila Tittle, Matthew Turner We The People",9
Concordia,"Barack Obama, Joe Biden Democratic",3833
Concordia,"Jill Stein, Cheri Honkala Green",18
Concordia,"Gary Johnson, James P. Gray Libertarian",40
Concordia,"Mitt Romney, Paul Ryan Republican",5450
Concordia,"Virgil Goode, James Clymer Constitution",17
Concordia,"Ross Anderson, Luis Rodriguez Justice",6
Concordia,"Jack Fellure, Toby Davis Prohibition",3
Concordia,"Peta Lindsay, Yari Osorio Socialism and Liberation",0
Concordia,"Jerry White, Phyllis Scherrer Socialist Equality",2
Concordia,"James Harris, Alyson Kennedy Socialist Workers",2
Concordia,"Sheila Tittle, Matthew Turner We The People",9
De Soto,"Barack Obama, Joe Biden Democratic",5553
De Soto,"Jill Stein, Cheri Honkala Green",29
De Soto,"Gary Johnson, James P. Gray Libertarian",68
De Soto,"Mitt Romney, Paul Ryan Republican",7353
De Soto,"Virgil Goode, James Clymer Constitution",15
De Soto,"Ross Anderson, Luis Rodriguez Justice",11
De Soto,"Jack Fellure, Toby Davis Prohibition",2
De Soto,"Peta Lindsay, Yari Osorio Socialism and Liberation",3
De Soto,"Jerry White, Phyllis Scherrer Socialist Equality",2
De Soto,"James Harris, Alyson Kennedy Socialist Workers",3
De Soto,"Sheila Tittle, Matthew Turner We The People",12
East Baton Rouge,"Barack Obama, Joe Biden Democratic",102656
East Baton Rouge,"Jill Stein, Cheri Honkala Green",620
East Baton Rouge,"Gary Johnson, James P. Gray Libertarian",1957
East Baton Rouge,"Mitt Romney, Paul Ryan Republican",92292
East Baton Rouge,"Virgil Goode, James Clymer Constitution",244
East Baton Rouge,"Ross Anderson, Luis Rodriguez Justice",122
East Baton Rouge,"Jack Fellure, Toby Davis Prohibition",51
East Baton Rouge,"Peta Lindsay, Yari Osorio Socialism and Liberation",66
East Baton Rouge,"Jerry White, Phyllis Scherrer Socialist Equality",33
East Baton Rouge,"James Harris, Alyson Kennedy Socialist Workers",31
East Baton Rouge,"Sheila Tittle, Matthew Turner We The People",99
East Carroll,"Barack Obama, Joe Biden Democratic",2478
East Carroll,"Jill Stein, Cheri Honkala Green",6
East Carroll,"Gary Johnson, James P. Gray Libertarian",4
East Carroll,"Mitt Romney, Paul Ryan Republican",1508
East Carroll,"Virgil Goode, James Clymer Constitution",0
East Carroll,"Ross Anderson, Luis Rodriguez Justice",3
East Carroll,"Jack Fellure, Toby Davis Prohibition",0
East Carroll,"Peta Lindsay, Yari Osorio Socialism and Liberation",3
East Carroll,"Jerry White, Phyllis Scherrer Socialist Equality",0
East Carroll,"James Harris, Alyson Kennedy Socialist Workers",4
East Carroll,"Sheila Tittle, Matthew Turner We The People",2
East Feliciana,"Barack Obama, Joe Biden Democratic",4648
East Feliciana,"Jill Stein, Cheri Honkala Green",30
East Feliciana,"Gary Johnson, James P. Gray Libertarian",62
East Feliciana,"Mitt Romney, Paul Ryan Republican",5397
East Feliciana,"Virgil Goode, James Clymer Constitution",28
East Feliciana,"Ross Anderson, Luis Rodriguez Justice",10
East Feliciana,"Jack Fellure, Toby Davis Prohibition",12
East Feliciana,"Peta Lindsay, Yari Osorio Socialism and Liberation",6
East Feliciana,"Jerry White, Phyllis Scherrer Socialist Equality",4
East Feliciana,"James Harris, Alyson Kennedy Socialist Workers",1
East Feliciana,"Sheila Tittle, Matthew Turner We The People",11
Evangeline,"Barack Obama, Joe Biden Democratic",5330
Evangeline,"Jill Stein, Cheri Honkala Green",72
Evangeline,"Gary Johnson, James P. Gray Libertarian",93
Evangeline,"Mitt Romney, Paul Ryan Republican",10181
Evangeline,"Virgil Goode, James Clymer Constitution",29
Evangeline,"Ross Anderson, Luis Rodriguez Justice",22
Evangeline,"Jack Fellure, Toby Davis Prohibition",6
Evangeline,"Peta Lindsay, Yari Osorio Socialism and Liberation",5
Evangeline,"Jerry White, Phyllis Scherrer Socialist Equality",6
Evangeline,"James Harris, Alyson Kennedy Socialist Workers",6
Evangeline,"Sheila Tittle, Matthew Turner We The People",20
Franklin,"Barack Obama, Joe Biden Democratic",2921
Franklin,"Jill Stein, Cheri Honkala Green",28
Franklin,"Gary Johnson, James P. Gray Libertarian",60
Franklin,"Mitt Romney, Paul Ryan Republican",6294
Franklin,"Virgil Goode, James Clymer Constitution",12
Franklin,"Ross Anderson, Luis Rodriguez Justice",4
Franklin,"Jack Fellure, Toby Davis Prohibition",1
Franklin,"Peta Lindsay, Yari Osorio Socialism and Liberation",6
Franklin,"Jerry White, Phyllis Scherrer Socialist Equality",3
Franklin,"James Harris, Alyson Kennedy Socialist Workers",4
Franklin,"Sheila Tittle, Matthew Turner We The People",3
Grant,"Barack Obama, Joe Biden Democratic",1422
Grant,"Jill Stein, Cheri Honkala Green",30
Grant,"Gary Johnson, James P. Gray Libertarian",67
Grant,"Mitt Romney, Paul Ryan Republican",7082
Grant,"Virgil Goode, James Clymer Constitution",16
Grant,"Ross Anderson, Luis Rodriguez Justice",10
Grant,"Jack Fellure, Toby Davis Prohibition",6
Grant,"Peta Lindsay, Yari Osorio Socialism and Liberation",5
Grant,"Jerry White, Phyllis Scherrer Socialist Equality",4
Grant,"James Harris, Alyson Kennedy Socialist Workers",3
Grant,"Sheila Tittle, Matthew Turner We The People",22
Iberia,"Barack Obama, Joe Biden Democratic",12132
Iberia,"Jill Stein, Cheri Honkala Green",100
Iberia,"Gary Johnson, James P. Gray Libertarian",158
Iberia,"Mitt Romney, Paul Ryan Republican",20892
Iberia,"Virgil Goode, James Clymer Constitution",35
Iberia,"Ross Anderson, Luis Rodriguez Justice",27
Iberia,"Jack Fellure, Toby Davis Prohibition",8
Iberia,"Peta Lindsay, Yari Osorio Socialism and Liberation",6
Iberia,"Jerry White, Phyllis Scherrer Socialist Equality",6
Iberia,"James Harris, Alyson Kennedy Socialist Workers",2
Iberia,"Sheila Tittle, Matthew Turner We The People",31
Iberville,"Barack Obama, Joe Biden Democratic",9548
Iberville,"Jill Stein, Cheri Honkala Green",60
Iberville,"Gary Johnson, James P. Gray Libertarian",79
Iberville,"Mitt Romney, Paul Ryan Republican",7271
Iberville,"Virgil Goode, James Clymer Constitution",13
Iberville,"Ross Anderson, Luis Rodriguez Justice",14
Iberville,"Jack Fellure, Toby Davis Prohibition",4
Iberville,"Peta Lindsay, Yari Osorio Socialism and Liberation",4
Iberville,"Jerry White, Phyllis Scherrer Socialist Equality",6
Iberville,"James Harris, Alyson Kennedy Socialist Workers",6
Iberville,"Sheila Tittle, Matthew Turner We The People",9
Jackson,"Barack Obama, Joe Biden Democratic",2305
Jackson,"Jill Stein, Cheri Honkala Green",22
Jackson,"Gary Johnson, James P. Gray Libertarian",37
Jackson,"Mitt Romney, Paul Ryan Republican",5132
Jackson,"Virgil Goode, James Clymer Constitution",10
Jackson,"Ross Anderson, Luis Rodriguez Justice",3
Jackson,"Jack Fellure, Toby Davis Prohibition",1
Jackson,"Peta Lindsay, Yari Osorio Socialism and Liberation",4
Jackson,"Jerry White, Phyllis Scherrer Socialist Equality",3
Jackson,"James Harris, Alyson Kennedy Socialist Workers",0
Jackson,"Sheila Tittle, Matthew Turner We The People",12
Jefferson,"Barack Obama, Joe Biden Democratic",70384
Jefferson,"Jill Stein, Cheri Honkala Green",681
Jefferson,"Gary Johnson, James P. Gray Libertarian",2160
Jefferson,"Mitt Romney, Paul Ryan Republican",102536
Jefferson,"Virgil Goode, James Clymer Constitution",172
Jefferson,"Ross Anderson, Luis Rodriguez Justice",110
Jefferson,"Jack Fellure, Toby Davis Prohibition",45
Jefferson,"Peta Lindsay, Yari Osorio Socialism and Liberation",38
Jefferson,"Jerry White, Phyllis Scherrer Socialist Equality",25
Jefferson,"James Harris, Alyson Kennedy Socialist Workers",27
Jefferson,"Sheila Tittle, Matthew Turner We The People",165
Jefferson Davis,"Barack Obama, Joe Biden Democratic",3484
Jefferson Davis,"Jill Stein, Cheri Honkala Green",58
Jefferson Davis,"Gary Johnson, James P. Gray Libertarian",97
Jefferson Davis,"Mitt Romney, Paul Ryan Republican",10014
Jefferson Davis,"Virgil Goode, James Clymer Constitution",21
Jefferson Davis,"Ross Anderson, Luis Rodriguez Justice",13
Jefferson Davis,"Jack Fellure, Toby Davis Prohibition",6
Jefferson Davis,"Peta Lindsay, Yari Osorio Socialism and Liberation",10
Jefferson Davis,"Jerry White, Phyllis Scherrer Socialist Equality",4
Jefferson Davis,"James Harris, Alyson Kennedy Socialist Workers",3
Jefferson Davis,"Sheila Tittle, Matthew Turner We The People",24
Lafayette,"Barack Obama, Joe Biden Democratic",31768
Lafayette,"Jill Stein, Cheri Honkala Green",367
Lafayette,"Gary Johnson, James P. Gray Libertarian",1228
Lafayette,"Mitt Romney, Paul Ryan Republican",64992
Lafayette,"Virgil Goode, James Clymer Constitution",109
Lafayette,"Ross Anderson, Luis Rodriguez Justice",60
Lafayette,"Jack Fellure, Toby Davis Prohibition",17
Lafayette,"Peta Lindsay, Yari Osorio Socialism and Liberation",27
Lafayette,"Jerry White, Phyllis Scherrer Socialist Equality",9
Lafayette,"James Harris, Alyson Kennedy Socialist Workers",14
Lafayette,"Sheila Tittle, Matthew Turner We The People",51
Lafourche,"Barack Obama, Joe Biden Democratic",9623
Lafourche,"Jill Stein, Cheri Honkala Green",217
Lafourche,"Gary Johnson, James P. Gray Libertarian",424
Lafourche,"Mitt Romney, Paul Ryan Republican",28592
Lafourche,"Virgil Goode, James Clymer Constitution",50
Lafourche,"Ross Anderson, Luis Rodriguez Justice",36
Lafourche,"Jack Fellure, Toby Davis Prohibition",21
Lafourche,"Peta Lindsay, Yari Osorio Socialism and Liberation",13
Lafourche,"Jerry White, Phyllis Scherrer Socialist Equality",11
Lafourche,"James Harris, Alyson Kennedy Socialist Workers",15
Lafourche,"Sheila Tittle, Matthew Turner We The People",73
La Salle,"Barack Obama, Joe Biden Democratic",764
La Salle,"Jill Stein, Cheri Honkala Green",20
La Salle,"Gary Johnson, James P. Gray Libertarian",25
La Salle,"Mitt Romney, Paul Ryan Republican",5726
La Salle,"Virgil Goode, James Clymer Constitution",10
La Salle,"Ross Anderson, Luis Rodriguez Justice",7
La Salle,"Jack Fellure, Toby Davis Prohibition",1
La Salle,"Peta Lindsay, Yari Osorio Socialism and Liberation",7
La Salle,"Jerry White, Phyllis Scherrer Socialist Equality",0
La Salle,"James Harris, Alyson Kennedy Socialist Workers",1
La Salle,"Sheila Tittle, Matthew Turner We The People",11
Lincoln,"Barack Obama, Joe Biden Democratic",7956
Lincoln,"Jill Stein, Cheri Honkala Green",45
Lincoln,"Gary Johnson, James P. Gray Libertarian",187
Lincoln,"Mitt Romney, Paul Ryan Republican",10739
Lincoln,"Virgil Goode, James Clymer Constitution",31
Lincoln,"Ross Anderson, Luis Rodriguez Justice",9
Lincoln,"Jack Fellure, Toby Davis Prohibition",8
Lincoln,"Peta Lindsay, Yari Osorio Socialism and Liberation",3
Lincoln,"Jerry White, Phyllis Scherrer Socialist Equality",3
Lincoln,"James Harris, Alyson Kennedy Socialist Workers",2
Lincoln,"Sheila Tittle, Matthew Turner We The People",10
Livingston,"Barack Obama, Joe Biden Democratic",7451
Livingston,"Jill Stein, Cheri Honkala Green",204
Livingston,"Gary Johnson, James P. Gray Libertarian",634
Livingston,"Mitt Romney, Paul Ryan Republican",45513
Livingston,"Virgil Goode, James Clymer Constitution",90
Livingston,"Ross Anderson, Luis Rodriguez Justice",44
Livingston,"Jack Fellure, Toby Davis Prohibition",14
Livingston,"Peta Lindsay, Yari Osorio Socialism and Liberation",20
Livingston,"Jerry White, Phyllis Scherrer Socialist Equality",4
Livingston,"James Harris, Alyson Kennedy Socialist Workers",9
Livingston,"Sheila Tittle, Matthew Turner We The People",79
Madison,"Barack Obama, Joe Biden Democratic",3154
Madison,"Jill Stein, Cheri Honkala Green",7
